question,law,label
สัญญาหลักประกันทางธุรกิจต้องเป็นไปตามพระราชบัญญัติใด,พระราชบัญญัติหลักประกันทางธุรกิจ พ.ศ. 2558,0
การแก้ไขคำสั่งซื้อขายสินทรัพย์ดิจิทัลโดยรู้ว่าจะทำให้ราคาสินทรัพย์ดิจิทัลผิดไปจากสภาพปกติของตลาดสามารถทำได้หรือไม่,พระราชกำหนดการประกอบธุรกิจสินทรัพย์ดิจิทัล พ.ศ. 2561,0
ใครเป็นคนตรวจสอบผู้จัดการกองทุนสำรองเลี้ยงชีพ,พระราชบัญญัติกองทุนสำรองเลี้ยงชีพ พ.ศ. 2530,0
การจัดให้มีเงินสำรองประเภทต่างๆตามพระราชบัญญัติหลักทรัพย์และตลาดหลักทรัพย์ พ.ศ. 2535 ต้องดำเนินการอย่างไร,พระราชบัญญัติหลักทรัพย์และตลาดหลักทรัพย์ พ.ศ. 2535,0
บริษัทหลักทรัพย์ต้องมีทุนจดทะเบียนที่ชำระแล้วเท่าใด,พระราชบัญญัติหลักทรัพย์และตลาดหลักทรัพย์ พ.ศ. 2535,0
หากบุคคลโอนทรัพย์สินของสมาคมที่เหลืออยู่ไปให้แก่บุคคลอื่นจะมีความผิดและต้องรับโทษอย่างไรบ้าง,พระราชบัญญัติกำหนดความผิดเกี่ยวกับห้างหุ้นส่วนจดทะเบียน ห้างหุ้นส่วนจำกัด บริษัทจำกัด สมาคม และมูลนิธิ พ.ศ. 2499,0
ความรับผิดชดใช้ค่าเสียหายตามมาตรา 173 พระราชบัญญัติหลักทรัพย์และตลาดหลักทรัพย์ พ.ศ. 2535 เป็นอย่างไร,พระราชบัญญัติหลักทรัพย์และตลาดหลักทรัพย์ พ.ศ. 2535,0
แบบของบัตรประจำตัวพนักงานเจ้าหน้าที่ เป็นอย่างไร,พระราชบัญญัติสัญญาซื้อขายล่วงหน้า พ.ศ. 2546,0
หากหอการค้ามีการแบ่งปันผลกำไรให้แก่สมาชิกแล้วจะมีความผิดและต้องรับโทษอย่างไรบ้าง,พระราชบัญญัติหอการค้า พ.ศ. 2509,0
สิ่งที่ต้องคำนึงถึงในการออกหลักเกณฑ์เงื่อนไขการขอรับใบอนุญาตคืออะไร,พระราชบัญญัติการประกอบกิจการพลังงาน พ.ศ. 2550,0
ตามบทบัญญัติเฉพาะะเขตพื้นที่พัฒนาร่วม พระราชบัญญัติภาษีเงินได้ปิโตรเลียม พ.ศ. 2514 รายจ่ายปกติและจำเป็น มีความหมายรวมถึงรายจ่ายประเภทใดบ้าง,พระราชบัญญัติภาษีเงินได้ปิโตรเลียม พ.ศ. 2514,0
ผู้ให้หลักประกันภายใต้เงื่อนไขบังคับใดๆจะมีสิทธิใช้ทรัพย์สินที่เป็นหลักประกันตามพระราชบัญญัติหลักประกันทางธุรกิจ พ.ศ. 2558 อย่างใด,พระราชบัญญัติหลักประกันทางธุรกิจ พ.ศ. 2558,0
หน้าที่ของบริษัทหลักทรัพย์ที่จัดการกองทุนส่วนบุคคลคืออะไร,พระราชบัญญัติหลักทรัพย์และตลาดหลักทรัพย์ พ.ศ. 2535,0
หากใบอนุญาตประกอบธุรกิจของคนต่างด้าวสูญหายต้องทำอย่างไรบ้าง,พระราชบัญญัติการประกอบธุรกิจของคนต่างด้าว พ.ศ. 2542,0
ตามกฎหมายหลักทรัพย์ ในการปฏิบัติหน้าที่พนักงานเจ้าหน้าที่ต้องแสดงบัตรประจำตัวต่อบุคคลที่เกี่ยวข้องหรือไม่,พระราชบัญญัติหลักทรัพย์และตลาดหลักทรัพย์ พ.ศ. 2535,0
ในการโอนกิจการปิโตรเลียมถ้าบริษัทผู้รับโอนจ่ายเงินได้ที่เป็นเงินค่าสิทธิ เงินปีหรือเงินได้ประจำเนื่องจากการโอนนั้นโดยเงินดังกล่าวไม่อาจกำหนดจำนวนทั้งสิ้นได้แน่นอน บุคคลผู้มีหน้าที่เสียภาษีต้องชำระภาษีในอัตราร้อยละ 0 ตามบทบัญญัติเฉพาะเขตพื้นที่พัฒนาร่วม พระราชบัญญัติภาษีเงินได้ปิโตรเลียม พ.ศ. 2514,พระราชบัญญัติภาษีเงินได้ปิโตรเลียม พ.ศ. 2514,0
หากไม่ปฏิบัติตามหมายเรียกหรือคำสั่งของเจ้าพนักงานประเมินเพื่อมาให้ถ้อยคำ ถือว่ามีความผิดตามพระราชบัญญัติภาษีเงินได้ปิโตรเลียม พ.ศ. 2514 มาตรา 75 หรือไม่,พระราชบัญญัติภาษีเงินได้ปิโตรเลียม พ.ศ. 2514,0
คนต่างด้าวประกอบธุรกิจโดยฝ่าฝืนเงื่อนไขต้องได้รับโทษหรือไม่,พระราชบัญญัติการประกอบธุรกิจของคนต่างด้าว พ.ศ. 2542,0
ถ้าทรัสตีเดิมถูกถอนจากการทำหน้าที่ จะสามารถเปลี่ยนแปลงทรัสตีได้หรือไม่,พระราชบัญญัติทรัสต์เพื่อธุรกรรมในตลาดทุน พ.ศ. 2550,0
บริษัทมหาชนสามารถเป็นเจ้าของหุ้นของตนเองได้หรือไม่อย่างไร,พระราชบัญญัติบริษัทมหาชนจำกัด พ.ศ. 2535,0
เมื่อผู้ให้หลักประกันไม่ยินยอมส่งมอบการครอบครองทรัพย์สินที่เป็นหลักประกัน ผู้รับหลักประกันทำอย่างไรได้บ้าง,พระราชบัญญัติหลักประกันทางธุรกิจ พ.ศ. 2558,0
ขอทราบหน้าที่การจัดการกองทรัสต์ของทรัสตี,พระราชบัญญัติทรัสต์เพื่อธุรกรรมในตลาดทุน พ.ศ. 2550,0
บริษัทเอกชนที่แปรสภาพเป็นบริษัทแล้วต้องรับผิดในหนี้ก่อนแปรสภาพหรือไม่,พระราชบัญญัติบริษัทมหาชนจำกัด พ.ศ. 2535,0
บริษัทหลักทรัพย์ที่ได้รับอนุญาตให้ประกอบการจัดการกองทุนรวม มีหุ้นเป็นของตนเองโดยมิใช่เพื่อประโยชน์ของโครงการลงทุนอยู่แล้วก่อนวันที่พระราชบัญญัตินี้ใช้บังคับ ซึ่งไม่อาจกระทำได้ต้องดำเนินการอย่างไรต่อไป,พระราชบัญญัติหลักทรัพย์และตลาดหลักทรัพย์ พ.ศ. 2535,0
เมื่อเลิกบริษัทมหาชนจำกัดต้องส่งเอกสารหลักฐานต่างๆของบริษัทให้แก่ผู้ชำระบัญชีภายในกี่วัน,พระราชบัญญัติบริษัทมหาชนจำกัด พ.ศ. 2535,0
พระราชบัญญัติวิชาชีพบัญชีพ.ศ.2547.ใช้บังคับตั้งแต่วันไหน,พระราชบัญญัติวิชาชีพบัญชี พ.ศ. 2547,0
ในกรณีที่อธิบดีเห็นว่าผู้ต้องหาไม่ควรต้องรับโทษถึงจำคุก ผู้ต้องหาต้องชำระค่าประบภายในกี่วัน หากไม่ชำระค่าปรับตามเวลาที่กำหนดหรือไม่ยินยอมจะเกิดผลอย่างไร,พระราชบัญญัติภาษีเงินได้ปิโตรเลียม พ.ศ. 2514,0
แบบแสดงรายการเงินได้ ต้องใช้แบบใด,พระราชบัญญัติภาษีเงินได้ปิโตรเลียม พ.ศ. 2514,0
การลงโทษปรับทางปกครองตามพระราชบัญญัติสัญญาซื้อขายล่วงหน้า พ.ศ. 2546 มีข้อจำกัดหรือไม่,พระราชบัญญัติสัญญาซื้อขายล่วงหน้า พ.ศ. 2546,0
บุคคลใดบุคคลหนึ่งสามารุฟ้องสถาบันการเงินว่าเป็นคดีล้มละลายในระหว่างการดำเนินการเพื่อควบ โอนหรือรับโอนกิจการตามที่ได้มีประกาศการให้ความเห็นชอบของธนาคารแห่งประเทศไทย ตามพระราชบัญญัติธุรกิจสถาบันการเงิน พ.ศ. 2551 ได้หรือไม่,พระราชบัญญัติธุรกิจสถาบันการเงิน พ.ศ. 2551,0
เมื่อใดที่คณะกรรมการบริษัทมหาชนจำกัดจะเรียกประชุม,พระราชบัญญัติบริษัทมหาชนจำกัด พ.ศ. 2535,0
หากโรงงานควบคุมหรืออาคารควบคุมอยู่ในระหว่างการชำระค่าธรรมเนียมพิเศษการใช้ไฟฟ้า คณะกรรมการกองทุนมีสิทธิยกเลิกการให้การส่งเสริมและช่วยเหลือหรือไม่,พระราชบัญญัติการส่งเสริมการอนุรักษ์พลังงาน พ.ศ. 2535,0
ช่วงไหนของบริษัทจำกัดที่ห้ามรับโอนทะเบียนหุ้น,พระราชบัญญัติบริษัทมหาชนจำกัด พ.ศ. 2535,0
บุคคลที่ออกคำสั่งคือผู้ถือหุ้นของนิติบุคคล ซึ่งคำสั่งดังกล่าวเป็นเหตุให้นิติบุคคลนั้นกระทำความผิด ผู้ถือหุ้นมีความผิดหรือไม่,พระราชบัญญัติการประกอบกิจการพลังงาน พ.ศ. 2550,0
หลักประกันที่เป็นกิจการให้บังคับตามใด,พระราชบัญญัติหลักประกันทางธุรกิจ พ.ศ. 2558,0
แบบแสดงรายการข้อมูลการเสนอขายหลักทรัพย์และร่างหนังสือชี้ชวน ให้มีผลใช้บังคับเมื่อใด ,พระราชบัญญัติหลักทรัพย์และตลาดหลักทรัพย์ พ.ศ. 2535,0
ในการพิจารณาคำขออนุญาต สำนักงานหลักทรัพย์และตลาดหลักทรัพย์ต้องแจ้งผลการพิจารณาภายในกี่วัน,พระราชบัญญัติหลักทรัพย์และตลาดหลักทรัพย์ พ.ศ. 2535,0
ผู้ได้รับใบอนุญาตประกอบกิจการพลังงานสามารถโอนใบอนุญาตเพียงบางเรื่องให้ผู้อื่นได้หรือไม่,พระราชบัญญัติการประกอบกิจการพลังงาน พ.ศ. 2550,0
สถาบันทางการเงินสามารถลงทุนในหลักทรัพย์ เป็นอัตราส่วนร้อยละสิบของเงินกองทุนทั้งหมดของสถาบันการเงินนั้น สำหรับการถือหรือมีหุ้นในทุกบริษัทรวมกันได้หรือไม่,พระราชบัญญัติธุรกิจสถาบันการเงิน พ.ศ. 2551,0
ใครมีอำนาจกำหนดประเภทโทเคนดิจิทัล,พระราชกำหนดการประกอบธุรกิจสินทรัพย์ดิจิทัล พ.ศ. 2561,0
เมื่อใดที่ผู้รับใบอนุญาตสามารถยื่นคำร้องขอปรับอัตราค่าบริการต่อคณะกรรมการ และคณะกรรมการจะต้องดำเนินการอย่างไร,พระราชบัญญัติการประกอบกิจการพลังงาน พ.ศ. 2550,0
ผู้นำส่งเอกสารอันก่อให้เกิดความสำคัญผิดในสาระคัญต่อสำนักงานกำกับหลักทรัพย์และตลาดหลักทรัพย์ต้องระวางโทษอย่างไร,พระราชบัญญัติหลักทรัพย์และตลาดหลักทรัพย์ พ.ศ. 2535,0
ผู้ถือหุ้นในบริษัทมหาชนสามารถมอบฉันทะให้บุคคลอื่นเข้าประชุมและออกเสียงลงคะแนนแทนตนได้หรือไม่อย่างไร,พระราชบัญญัติบริษัทมหาชนจำกัด พ.ศ. 2535,0
ในกรณีที่มีเหตุจำเป็น ธนาคารแห่งประเทศไทยมีอำนาตในการกำหนดอัตราขั้นสูงในการถือหรือมีหุ้นให้ต่ำกว่าที่กำหนดได้หรือไม่ และต้องประกาศล่วงหน้าอย่างน้อยกี่วัน,พระราชบัญญัติธุรกิจสถาบันการเงิน พ.ศ. 2551,0
หากสัญญามีข้อกำหนดเฉพาะเกี่ยวกับการระงับข้อพิพาทหรือการอุทธรณ์ สามารถทำตามสัญญาโดยไม่ต้องทำตามกฎหมายได้หรือไม่,พระราชบัญญัติการประกอบกิจการพลังงาน พ.ศ. 2550,0
เมื่อหอการค้าล้มละลายการชำระบัญชีหอการค้าต้องบังคับใช้ตามกฎหมายใด,พระราชบัญญัติหอการค้า พ.ศ. 2509,0
เมื่อนิติบุคคลเฉพาะกิจดำเนินโครงการที่ได้รับอนุมัติโดยมิได้ทำการแปลงสินทรัพย์เป็นหลักทรัพย์ให้สำเร็จ สำนักงาน ก.ล.ต.มีอำนาจอย่างไร,พระราชกำหนดนิติบุคคลเฉพาะกิจเพื่อการแปลงสินทรัพย์เป็นหลักทรัพย์ พ.ศ. 2540,0
ถ้ากฎเกณฑ์ของตลาดหลักทรัพย์ก่อให้เกิดความเสียหายหรือกระทบกระเทือนต่อสิทธิประโยชน์ของประชาชน หรือไม่เพียงพอที่จะคุ้มครองและรักษาความเชื่อมั่นของผู้ลงทุน คณะกรรมการ ก.ล.ต.มีอำนาจสั่งอะไร,พระราชบัญญัติหลักทรัพย์และตลาดหลักทรัพย์ พ.ศ. 2535,0
ผู้ใดมีหน้าที่ศึกษารวบรวม วิเคราะห์ และเผยแพร่ข้อมูลเกี่ยวกับการประกอบกิจการพลังงานสภาพการแข่งขันในการประกอบกิจการพลังงาน การพยากรณ์ความต้องการไฟฟ้า,พระราชบัญญัติการประกอบกิจการพลังงาน พ.ศ. 2550,0
พนักงานเจ้าหน้าที่มีอำนาจในการดำเนินการใดบ้างเพื่อให้การตรวจสอบกิจการพลังงานเป็นไปตามกฎหมายที่กำหนด,พระราชบัญญัติการประกอบกิจการพลังงาน พ.ศ. 2550,0
ผู้รับใบอนุญาตระบบโครงข่ายพลังงานเลือกให้บริการเฉพาะกลุ่มได้หรือไม่,พระราชบัญญัติการประกอบกิจการพลังงาน พ.ศ. 2550,0
การตั้งหอการค้าต้องมีผู้เริ่มก่อตั้งกี่คน,พระราชบัญญัติหอการค้า พ.ศ. 2509,0
หน่วยงานใดมีอำนาจในการแก้ไขเพิ่มเติมหลักเกณฑ์และวิธีการในการเสนอขายหุ้นใหม่แก่ประชาชนหรือออกหุ้นกู้ในกรณีที่มีเหตุจำเป็น,พระราชบัญญัติหลักทรัพย์และตลาดหลักทรัพย์ พ.ศ. 2535,0
ใครเป็นผู้รักษาการตามพระราชบัญญัติหลักทรัพย์และตลาดหลักทรัพย์ พ.ศ. 2535,พระราชบัญญัติหลักทรัพย์และตลาดหลักทรัพย์ พ.ศ. 2535,0
บริษัทต้องยื่นขอจดทะเบียนรายการเปลี่ยนเเปลงภายในกี่วัน ,พระราชบัญญัติบริษัทมหาชนจำกัด พ.ศ. 2535,0
ในกรณีใดที่เจ้าพนักงานโดยหน้าที่ราชการได้รู้เรื่องกิจการของผู้เสียภาษี หรือของผู้อื่นที่เกี่ยวข้อง และนำข้อมูลดังกล่าวไปบอกกล่าวกับบุคคลภายนอก ไม่ถือว่ามีความผิดตามพระราชบัญญัติภาษีเงินได้ปิโตรเลียม พ.ศ. 2514 ,พระราชบัญญัติภาษีเงินได้ปิโตรเลียม พ.ศ. 2514,0
หากพนักงานเจ้าหน้าที่ขอเอกสารตอนเข้าตรวจสถานที่ พนักงานไม่ให้เอกสารได้หรือไม่,พระราชบัญญัติการประกอบกิจการพลังงาน พ.ศ. 2550,0
เจ้าพนักงานประเมินได้ประเมินจำนวนเเงินหักภาษี ณ ​ที่จ่ายแล้ว สามารถเรียกผู้มีหน้าที่เสียภาษีต้องนำส่งภาษีก่อน 30 วันได้หรือไม่,พระราชบัญญัติภาษีเงินได้ปิโตรเลียม พ.ศ. 2514,0
ในกรณีที่สถาบันการเงินได้ทำเอกสารประกอบการลงบัญชีหรือลงบัญชีไม่ตรงกับความเป็นจริง ผู้สอบบัญชีที่ธนาคารแห่งประเทศไทยให้ความเห็นชอบ มีหน้าที่ต้องปฏิบัติตนเช่นไร ตามพระราชบัญญัติธุรกิจสถาบันการเงิน พ.ศ. 2551,พระราชบัญญัติธุรกิจสถาบันการเงิน พ.ศ. 2551,0
การซื้อขายสินทรัพย์ดิจิทัลแล้วทำให้ผู้อื่นเข้าใจผิดเกี่ยวกับราคาในการซื้อขายสินทรัพย์ดิจิทัลจะทำได้หรือไม่อย่างไร,พระราชกำหนดการประกอบธุรกิจสินทรัพย์ดิจิทัล พ.ศ. 2561,0
กระทำการผิดหน้าที่ของพนักงานโดยทุจริต จนเป็นเหตุให้เกิดความเสียหายแก่ประโยชน์ของลูกค้าต้องระวางโทษอย่างไร ,พระราชบัญญัติสัญญาซื้อขายล่วงหน้า พ.ศ. 2546,0
ผู้ทรงคุณวุฒิในคณะกรรมการกองทุนที่พ้นจากตำแหน่งไปแล้วสามารถกลับมารับตำแหน่งอีกได้หรือไม่,พระราชบัญญัติการส่งเสริมการอนุรักษ์พลังงาน พ.ศ. 2535,0
ผู้ทำคำเสนอซื้อหลักทรัพย์ต้องยื่นคำเสนอซื้อ ณ ที่ใด,พระราชบัญญัติหลักทรัพย์และตลาดหลักทรัพย์ พ.ศ. 2535,0
ในกรณีที่าถ่บันการเงินประสบปัญหาขาดทุน เมื่อสิ้นรอบระยะเวลา 6 เดือน เมื่อลดลงเหลือต่ำกว่าร้อยละห้าสิบของทุนที่ชำระแล้ว ต้องปฏิบัติอย่างไร,พระราชบัญญัติธุรกิจสถาบันการเงิน พ.ศ. 2551,0
ใครมีอำนาจกำหนดวิธีการปฏิบัติหน้าที่ของบุคคลที่ทำหน้าที่แทนคณะกรรมการ,พระราชบัญญัติการประกอบกิจการพลังงาน พ.ศ. 2550,0
ธนาคารพาณิชย์ต้องการเปิดธุรกิจใหม่เกี่ยวกับการประกันภัยการเดินทางเรือเพิ่มเติมการธุรกิจธนาคารพาณิชน์ได้หรือไม่,พระราชบัญญัติธุรกิจสถาบันการเงิน พ.ศ. 2551,0
ใบหุ้นกู้ถ้าไม่มีพวกเนื้อหาข้อกำหนด อำนาจ ผลประโยชน์ มีความผิดกฎหมายไหม,พระราชบัญญัติหลักทรัพย์และตลาดหลักทรัพย์ พ.ศ. 2535,0
การอนุรักษพลังงานในอาคารสามารถทำได้อย่างไรบ้าง,พระราชบัญญัติการส่งเสริมการอนุรักษ์พลังงาน พ.ศ. 2535,0
ในกรณีที่บริษัทได้จัดตั้งขึ้นตามกฎหมายต่างประเทศ จะต้องดำเนินการอย่างไร,พระราชบัญญัติภาษีเงินได้ปิโตรเลียม พ.ศ. 2514,0
ต้องทำอะไรจึงจะโอนทุนสำรองเพื่อชดเชยการขาดทุนของบริษัทได้,พระราชบัญญัติบริษัทมหาชนจำกัด พ.ศ. 2535,0
การโอนใบสำคัญแสดงสิทธิที่จะซื้อหุ้นจะถือว่าเสร็จสมบูรณ์เมื่อใด,พระราชบัญญัติหลักทรัพย์และตลาดหลักทรัพย์ พ.ศ. 2535,0
ผู้ให้หลักประกันต้องปฏิบัติตามมาตราใดบ้างของพระราชบัญญัติหลักประกันทางธุรกิจ พ.ศ. 2558,พระราชบัญญัติหลักประกันทางธุรกิจ พ.ศ. 2558,0
เงื่อนไขในการยื่นขอจดทะเบียนต่อสภาวิชาชีพบัญชีของนิติบุคคลที่ให้บริการการสอบบัญชีมีอะไรบ้าง,พระราชบัญญัติวิชาชีพบัญชี พ.ศ. 2547,0
หลังจากทำคำเสนอแล้ว ถ้าอยากซื้อหลักทรัพย์มากกว่าจำนวนที่ผู้มีหลักทรัพย์อยากขายจะต้องทำเช่นไร,พระราชบัญญัติหลักทรัพย์และตลาดหลักทรัพย์ พ.ศ. 2535,0
หากมีการยื่นคำร้องเกี่ยวกับข้อกำหนดการเชื่อมต่อระบบโครงข่ายแล้วคณะกรรมการมีขั้นตอนการดำเนินงานอย่างไรต่อไป,พระราชบัญญัติการประกอบกิจการพลังงาน พ.ศ. 2550,0
การแต่งตั้งกรรมการของบริษัทตลาดหลักทรัพย์จะต้องได้รับความเห็นชอบจากใคร,พระราชบัญญัติหลักทรัพย์และตลาดหลักทรัพย์ พ.ศ. 2535,0
กรณีที่ศาลเห็นว่ามีเหตุบังคับหลักประกันตามสัญญาหลักประกันทางธุรกิจและข้อตกลงเกี่ยวกับเหตุบังคับหลักประกันที่ผู้รับหลักประกันยกขึ้นเป็นเหตุบังคับหลักประกันตามสัญญาหลักประกันทางธุรกิจไม่ขัดต่อความสงบเรียบร้อยหรือศีลธรรมอันดีของประชาชนศาลต้องทำอะไร,พระราชบัญญัติหลักประกันทางธุรกิจ พ.ศ. 2558,0
หากพึ่งทราบภายหลังว่ากรรมการบกพร่องในคุณสมบัติ กิจการบริษัทที่ดำเนินการไปก่อนหน้าจะยังมีผลหรือไม่,พระราชบัญญัติบริษัทมหาชนจำกัด พ.ศ. 2535,0
สถาบันการเงินต้องบริหารสินทรัพย์ หนี้สิน และภาระผูกพัน ให้มีความสัมพันธ์กับการรับฝากเงิน การกู้ยืมเงิน หรือการรับเงินจากประชาชน ตามหลักเกณฑ์ที่ธนาคารแห่งประเทศไทยประกาศกำหนด ตามพระราชบัญญัติธุรกิจสถาบันการเงิน พ.ศ. 2551 หรือไม่,พระราชบัญญัติธุรกิจสถาบันการเงิน พ.ศ. 2551,0
การให้คำรับรองข้อความอันเป็นเท็จ เช่นรับรองว่าราคาซื้อขายสินทรัพย์ดิจิทัลจะพุ่งสูงขึ้นไปเรื่อยๆ ลงทุนไปยังไงก็ไม่ขาดทุน กรณีแบบนี้สามารถทำได้หรือไม่,พระราชกำหนดการประกอบธุรกิจสินทรัพย์ดิจิทัล พ.ศ. 2561,0
